"Technique","Min_Accuracy","1st.Qu_Accuracy","Median_Accuracy","Mean_Accuracy","3rd.Qu_Accuracy","Max_Accuracy","NA.s","Runtime_Training","Seed","Samples","Female_samples","Male_samples","Data_division_method","Training_samples_80p","Training_samples_Female","Training_samples_Male","Test_samples_20p","Test_samples_Female","Test_samples_Male","Operational_System"
"Random Forest 2 (cforest)",0.956521739130435,0.968410569232206,0.978221657569484,0.975239314617952,0.98029550900999,0.988188976377953,0,"00:19:39",1234,3168,1584,1584,"sample-prob",2531,1262,1269,637,322,315,"unix"
"Random Forest 3 (parRF)",0.956692913385827,0.972332015810277,0.980237154150198,0.977611424230733,0.984189723320158,0.99604743083004,0,"00:01:46",1234,3168,1584,1584,"sample-prob",2531,1262,1269,637,322,315,"unix"
"k-NN 1 (knn)",0.94488188976378,0.964426877470356,0.970355731225296,0.969841590947377,0.976284584980237,0.988142292490119,0,"00:00:03",1234,3168,1584,1584,"sample-prob",2531,1262,1269,637,322,315,"unix"
"k-NN 2 (kknn)",0.948616600790514,0.972332015810277,0.976284584980237,0.975501316617373,0.980314960629921,0.992094861660079,0,"00:00:43",1234,3168,1584,1584,"sample-prob",2531,1262,1269,637,322,315,"unix"
"Naive Bayes 1 (nb)",0.889328063241107,0.91707774423454,0.921104229560238,0.922042357518222,0.929063832435965,0.948616600790514,0,"00:00:23",1234,3168,1584,1584,"sample-prob",2531,1262,1269,637,322,315,"unix"
"Naive Bayes 2 (naive_bayes)",0.857707509881423,0.91304347826087,0.924901185770751,0.920971859742829,0.928853754940711,0.956521739130435,0,"00:00:02",1234,3168,1584,1584,"sample-prob",2531,1262,1269,637,322,315,"unix"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RNA 1 (nnet)",0.9375,0.9625,0.96875,0.967916666666667,0.975,0.9875,0,"00:00:26",123,2000,1000,1000,"createDP",1600,800,800,400,200,200,"unix"
"RNA 2 (mlp)",0.925,0.95625,0.96875,0.966041666666667,0.9796875,0.9875,0,"00:00:24",123,2000,1000,1000,"createDP",1600,800,800,400,200,200,"unix"
"RNA 3 (mlpML)",0.94375,0.9515625,0.965625,0.964166666666667,0.9734375,0.9875,0,"00:00:24",123,2000,1000,1000,"createDP",1600,800,800,400,200,200,"unix"
"SVM 1 (svmRadial)",0.94375,0.9625,0.96875,0.970833333333333,0.98125,0.99375,0,"00:00:11",123,2000,1000,1000,"createDP",1600,800,800,400,200,200,"unix"
"SVM 2 (svmRadialWeights)",0.9375,0.96875,0.975,0.972291666666667,0.98125,0.99375,0,"00:00:31",123,2000,1000,1000,"createDP",1600,800,800,400,200,200,"unix"
"SVM 3 (svmPoly)",0.94375,0.9625,0.96875,0.97,0.98125,1,0,"00:01:56",123,2000,1000,1000,"createDP",1600,800,800,400,200,200,"unix"
"CART 1 (rpart)",0.93125,0.9453125,0.959375,0.955833333333333,0.9625,0.98125,0,"00:00:01",123,2000,1000,1000,"createDP",1600,800,800,400,200,200,"unix"
"CART 2 (rpart1SE)",0.9125,0.95,0.95625,0.955416666666667,0.9671875,0.99375,0,"00:00:02",123,2000,1000,1000,"createDP",1600,800,800,400,200,200,"unix"
"CART 3 (rpart2)",0.91875,0.94375,0.95625,0.955,0.9671875,0.98125,0,"00:00:01",123,2000,1000,1000,"createDP",1600,800,800,400,200,200,"unix"
"Decision Trees 1 (C5.0)",0.93125,0.9625,0.971875,0.972083333333333,0.9859375,0.99375,0,"00:00:35",123,2000,1000,1000,"createDP",1600,800,800,400,200,200,"unix"
"Decision Trees 2 (C5.0Rules)",0.91875,0.9515625,0.9625,0.960208333333333,0.96875,0.99375,0,"00:00:03",123,2000,1000,1000,"createDP",1600,800,800,400,200,200,"unix"
"Decision Trees 3 (C5.0Tree)",0.925,0.95,0.959375,0.957083333333333,0.9625,0.9875,0,"00:00:03",123,2000,1000,1000,"createDP",1600,800,800,400,200,200,"unix"
"Random Forest 1 (rf)",0.94375,0.9640625,0.975,0.973125,0.98125,1,0,"00:00:58",123,2000,1000,1000,"createDP",1600,800,800,400,200,200,"unix"
"Random Forest 2 (cforest)",0.9375,0.9578125,0.96875,0.966875,0.975,0.99375,0,"00:09:00",123,2000,1000,1000,"createDP",1600,800,800,400,200,200,"unix"
"Random Forest 3 (parRF)",0.94375,0.96875,0.971875,0.972708333333333,0.98125,1,0,"00:00:57",123,2000,1000,1000,"createDP",1600,800,800,400,200,200,"unix"
"k-NN 1 (knn)",0.94375,0.9578125,0.96875,0.966458333333333,0.96875,0.9875,0,"00:00:02",123,2000,1000,1000,"createDP",1600,800,800,400,200,200,"unix"
"k-NN 2 (kknn)",0.94375,0.9640625,0.975,0.97125,0.9796875,0.99375,0,"00:00:25",123,2000,1000,1000,"createDP",1600,800,800,400,200,200,"unix"
"Naive Bayes 1 (nb)",0.84375,0.9015625,0.91875,0.915,0.93125,0.9625,0,"00:00:15",123,2000,1000,1000,"createDP",1600,800,800,400,200,200,"unix"
"Naive Bayes 2 (naive_bayes)",0.85625,0.90625,0.915625,0.915,0.93125,0.95,0,"00:00:02",123,2000,1000,1000,"createDP",1600,800,800,400,200,200,"unix"
