"Technique","Min_Accuracy","1st.Qu_Accuracy","Median_Accuracy","Mean_Accuracy","3rd.Qu_Accuracy","Max_Accuracy","NA.s","Runtime_Training","Seed","Samples","Female_samples","Male_samples","Data_division_method","Training_samples_80p","Training_samples_Female","Training_samples_Male","Test_samples_20p","Test_samples_Female","Test_samples_Male","Operational_System"
"RNA 3 (mlpML)",0.944664031620553,0.968379446640316,0.976284584980237,0.974845609713806,0.980237154150198,0.992094861660079,0,"00:00:33",1234,3168,1584,1584,"sample-prob",2531,1262,1269,637,322,315,"windows"
"SVM 1 (svmRadial)",0.960474308300395,0.973401854906477,0.980197942154464,0.979845997511181,0.984236407207992,0.996062992125984,0,"00:00:27",1234,3168,1584,1584,"sample-prob",2531,1262,1269,637,322,315,"windows"
"SVM 2 (svmRadialWeights)",0.972332015810277,0.976284584980237,0.980237154150198,0.981166636943768,0.987134420697413,0.992125984251969,0,"00:01:18",1234,3168,1584,1584,"sample-prob",2531,1262,1269,637,322,315,"windows"
"SVM 3 (svmPoly)",0.960474308300395,0.972332015810277,0.976284584980237,0.977875904510619,0.984236407207992,0.99604743083004,0,"00:03:21",1234,3168,1584,1584,"sample-prob",2531,1262,1269,637,322,315,"windows"
"CART 1 (rpart)",0.936758893280632,0.952569169960474,0.958498023715415,0.958906141343663,0.964566929133858,0.984189723320158,0,"00:00:01",1234,3168,1584,1584,"sample-prob",2531,1262,1269,637,322,315,"windows"
"CART 2 (rpart1SE)",0.940711462450593,0.948616600790514,0.958505186851644,0.958251541844489,0.964426877470356,0.980237154150198,0,"00:00:02",1234,3168,1584,1584,"sample-prob",2531,1262,1269,637,322,315,"windows"
"CART 3 (rpart2)",0.929133858267717,0.948616600790514,0.958419599723948,0.957991627034763,0.964426877470356,0.988142292490119,0,"00:00:01",1234,3168,1584,1584,"sample-prob",2531,1262,1269,637,322,315,"windows"
"Decision Trees 1 (C5.0)",0.956521739130435,0.969367588932806,0.976377952755906,0.976426690899474,0.984189723320158,0.992094861660079,0,"00:01:13",1234,3168,1584,1584,"sample-prob",2531,1262,1269,637,322,315,"windows"
"Decision Trees 2 (C5.0Rules)",0.944664031620553,0.960474308300395,0.972332015810277,0.970496787374569,0.980237154150198,0.992094861660079,0,"00:00:06",1234,3168,1584,1584,"sample-prob",2531,1262,1269,637,322,315,"windows"
"Decision Trees 3 (C5.0Tree)",0.948616600790514,0.961462450592885,0.970417976409075,0.969181771415595,0.976354610811988,0.988142292490119,0,"00:00:06",1234,3168,1584,1584,"sample-prob",2531,1262,1269,637,322,315,"windows"
"Random Forest 1 (rf)",0.964426877470356,0.972332015810277,0.980237154150198,0.978662820309517,0.984189723320158,0.992094861660079,0,"00:01:45",1234,3168,1584,1584,"sample-prob",2531,1262,1269,637,322,315,"windows"
"Random Forest 2 (cforest)",0.956521739130435,0.968410569232206,0.976284584980237,0.974978942849535,0.983201581027668,0.992063492063492,0,"00:19:05",1234,3168,1584,1584,"sample-prob",2531,1262,1269,637,322,315,"windows"
"Random Forest 3 (parRF)",0.952569169960474,0.97244094488189,0.976284584980237,0.977609312340569,0.984189723320158,0.996062992125984,0,"00:01:45",1234,3168,1584,1584,"sample-prob",2531,1262,1269,637,322,315,"windows"
"k-NN 1 (knn)",0.936758893280632,0.965415019762846,0.972332015810277,0.969976525496895,0.972413712613987,0.99604743083004,0,"00:00:04",1234,3168,1584,1584,"sample-prob",2531,1262,1269,637,322,315,"windows"
"k-NN 2 (kknn)",0.952755905511811,0.968379446640316,0.972332015810277,0.973139054258534,0.983154526632787,0.992094861660079,0,"00:00:43",1234,3168,1584,1584,"sample-prob",2531,1262,1269,637,322,315,"windows"
"Naive Bayes 1 (nb)",0.884920634920635,0.910347483738446,0.920948616600791,0.921111273310863,0.931888207649933,0.948616600790514,0,"00:00:25",1234,3168,1584,1584,"sample-prob",2531,1262,1269,637,322,315,"windows"
"Naive Bayes 2 (naive_bayes)",0.897637795275591,0.91304347826087,0.923080514145218,0.922032024488375,0.931888207649933,0.944664031620553,0,"00:00:03",1234,3168,1584,1584,"sample-prob",2531,1262,1269,637,322,315,"windows"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RNA 1 (nnet)",0.9375,0.9625,0.96875,0.967916666666667,0.9796875,1,0,"00:00:37",123,2000,1000,1000,"createDP",1600,800,800,400,200,200,"windows"
"RNA 2 (mlp)",0.9125,0.95625,0.965625,0.965,0.98125,0.9875,0,"00:00:22",123,2000,1000,1000,"createDP",1600,800,800,400,200,200,"windows"
"RNA 3 (mlpML)",0.93125,0.95625,0.965625,0.965,0.96875,0.99375,0,"00:00:23",123,2000,1000,1000,"createDP",1600,800,800,400,200,200,"windows"
"SVM 1 (svmRadial)",0.93125,0.9625,0.975,0.970208333333333,0.9796875,1,0,"00:00:15",123,2000,1000,1000,"createDP",1600,800,800,400,200,200,"windows"
"SVM 2 (svmRadialWeights)",0.95,0.9625,0.971875,0.972083333333333,0.98125,0.99375,0,"00:00:43",123,2000,1000,1000,"createDP",1600,800,800,400,200,200,"windows"
"SVM 3 (svmPoly)",0.95625,0.9625,0.971875,0.971666666666667,0.975,0.99375,0,"00:01:47",123,2000,1000,1000,"createDP",1600,800,800,400,200,200,"windows"
"CART 1 (rpart)",0.93125,0.9453125,0.95625,0.956458333333333,0.96875,0.98125,0,"00:00:01",123,2000,1000,1000,"createDP",1600,800,800,400,200,200,"windows"
"CART 2 (rpart1SE)",0.9125,0.94375,0.95625,0.955,0.96875,0.98125,0,"00:00:02",123,2000,1000,1000,"createDP",1600,800,800,400,200,200,"windows"
"CART 3 (rpart2)",0.9125,0.9453125,0.959375,0.954583333333333,0.9671875,0.975,0,"00:00:01",123,2000,1000,1000,"createDP",1600,800,800,400,200,200,"windows"
"Decision Trees 1 (C5.0)",0.95,0.96875,0.975,0.97375,0.98125,0.99375,0,"00:00:46",123,2000,1000,1000,"createDP",1600,800,800,400,200,200,"windows"
"Decision Trees 2 (C5.0Rules)",0.925,0.95,0.959375,0.959166666666667,0.96875,0.99375,0,"00:00:04",123,2000,1000,1000,"createDP",1600,800,800,400,200,200,"windows"
"Decision Trees 3 (C5.0Tree)",0.93125,0.95,0.953125,0.955625,0.96875,0.9875,0,"00:00:04",123,2000,1000,1000,"createDP",1600,800,800,400,200,200,"windows"
"Random Forest 1 (rf)",0.94375,0.9640625,0.975,0.973958333333333,0.9875,0.9875,0,"00:01:00",123,2000,1000,1000,"createDP",1600,800,800,400,200,200,"windows"
"Random Forest 2 (cforest)",0.9375,0.9578125,0.96875,0.966875,0.975,0.9875,0,"00:08:22",123,2000,1000,1000,"createDP",1600,800,800,400,200,200,"windows"
"Random Forest 3 (parRF)",0.95,0.9640625,0.975,0.973333333333333,0.98125,0.99375,0,"00:01:00",123,2000,1000,1000,"createDP",1600,800,800,400,200,200,"windows"
