"Technique","Min_Accuracy","1st.Qu_Accuracy","Median_Accuracy","Mean_Accuracy","3rd.Qu_Accuracy","Max_Accuracy","NA.s","Runtime_Training","Seed","Samples","Female_samples","Male_samples","Data_division_method","Training_samples_80p","Training_samples_Female","Training_samples_Male","Test_samples_20p","Test_samples_Female","Test_samples_Male","Operational_System"
"RNA 3 (mlpML)",0.948616600790514,0.964566929133858,0.972494982244867,0.972033129083696,0.980314960629921,0.996062992125984,0,"00:00:33",123,3168,1584,1584,"sample-prob",2539,1262,1277,629,322,307,"windows"
"SVM 1 (svmRadial)",0.948818897637795,0.976284584980237,0.978346456692913,0.978729750736517,0.984298286243631,0.996062992125984,0,"00:00:27",123,3168,1584,1584,"sample-prob",2539,1262,1277,629,322,307,"windows"
"SVM 2 (svmRadialWeights)",0.968503937007874,0.976377952755906,0.978346456692913,0.980964324355991,0.984251968503937,0.996062992125984,0,"00:01:15",123,3168,1584,1584,"sample-prob",2539,1262,1277,629,322,307,"windows"
"SVM 3 (svmPoly)",0.96078431372549,0.97235924807818,0.976377952755906,0.976768893193164,0.980372857804539,0.992125984251969,0,"00:03:17",123,3168,1584,1584,"sample-prob",2539,1262,1277,629,322,307,"windows"
"CART 1 (rpart)",0.933070866141732,0.949756465718465,0.956692913385827,0.957077110594842,0.964566929133858,0.976377952755906,0,"00:00:01",123,3168,1584,1584,"sample-prob",2539,1262,1277,629,322,307,"windows"
"CART 2 (rpart1SE)",0.933070866141732,0.948869075189131,0.960629921259842,0.959435194118522,0.968503937007874,0.980392156862745,0,"00:00:02",123,3168,1584,1584,"sample-prob",2539,1262,1277,629,322,307,"windows"
"CART 3 (rpart2)",0.925196850393701,0.946896711440482,0.960474308300395,0.958510832797842,0.972413712613987,0.984313725490196,0,"00:00:01",123,3168,1584,1584,"sample-prob",2539,1262,1277,629,322,307,"windows"
"Decision Trees 1 (C5.0)",0.964566929133858,0.97244094488189,0.978353871192746,0.977817805906092,0.983221032647599,0.99604743083004,0,"00:01:12",123,3168,1584,1584,"sample-prob",2539,1262,1277,629,322,307,"windows"
"Decision Trees 2 (C5.0Rules)",0.940944881889764,0.960513211540257,0.966542664496629,0.966918070081975,0.97532367495565,0.988142292490119,0,"00:00:06",123,3168,1584,1584,"sample-prob",2539,1262,1277,629,322,307,"windows"
"Decision Trees 3 (C5.0Tree)",0.94488188976378,0.960668519376254,0.968441691824095,0.968099703358982,0.976377952755906,0.988188976377953,0,"00:00:06",123,3168,1584,1584,"sample-prob",2539,1262,1277,629,322,307,"windows"
"Random Forest 1 (rf)",0.960474308300395,0.973320158102767,0.978346456692913,0.97886143794918,0.984251968503937,0.996062992125984,0,"00:01:45",123,3168,1584,1584,"sample-prob",2539,1262,1277,629,322,307,"windows"
"Random Forest 2 (cforest)",0.948818897637795,0.969553592187863,0.976377952755906,0.974662428705363,0.980314960629921,0.992094861660079,0,"00:17:39",123,3168,1584,1584,"sample-prob",2539,1262,1277,629,322,307,"windows"
